link_id,from_node,to_node,u_osm,v_osm,edge_key,osm_way,name,highway,oneway,length_m,lanes,maxspeed,ref,access,bridge,tunnel,geometry,odbc,od_eff_loss,lscc_loss,td_loss,reachable_demand_share,odbc_rank,odbc_pct,od_eff_rank,od_eff_pct,lscc_rank,lscc_pct,td_rank,td_pct
1695,1022,162,1636768949,332252247,0,1200878740,山東街 Shantung Street,tertiary,True,50.776,3,,,,,,"LINESTRING (114.167046 22.317013, 114.166709 22.316961, 114.166659 22.316951, 114.16656 22.316935)",0.0010683354546108365,0.00010395575291332446,0.0,0.00010427110442321896,1.0,2078,0.27097227097227095,1863,0.3464373464373464,1122,0.3034398034398034,1989,0.3022113022113022
1696,1023,47,1640472705,278951444,0,901557027,雅翔道 Nga Cheung Road,tertiary,True,240.29700000000005,2,,,,viaduct,,"LINESTRING (114.161428 22.307121, 114.161364 22.307068, 114.161283 22.306975, 114.161173 22.3068, 114.161108 22.306664, 114.161098 22.306641, 114.160954 22.306349, 114.160869 22.306165, 114.16042 22.305184)",0.0024074929622687957,5.91096661110026e-05,0.0006476683937823658,0.00020467556964203772,1.0,1841,0.3541593541593542,2003,0.2972972972972973,572,0.7032292032292032,1819,0.3618813618813619
1697,1024,41,1640472711,278949226,0,28071223,佐敦道 Jordan Road,secondary,True,56.251,2,,,,,,"LINESTRING (114.161312 22.307232, 114.16133 22.30735, 114.161348 22.307394, 114.16139 22.307461, 114.161419 22.30749, 114.161461 22.307516, 114.161512 22.307532, 114.161561 22.307538, 114.161602 22.307533, 114.161645 22.307521)",0.0,0.0,0.0006476683937823658,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,572,0.7032292032292032,2520,0.05809055809055809
1698,1025,399,1640472713,660415615,0,151226305,佐敦道 Jordan Road,secondary,True,49.833,2,,,,,,"LINESTRING (114.161733 22.307471, 114.161759 22.307434, 114.161778 22.307393, 114.161785 22.307356, 114.161785 22.307322, 114.161775 22.307268, 114.16176 22.307218, 114.161734 22.307164, 114.161708 22.307127, 114.161676 22.307097, 114.161645 22.307076)",0.0007202901672245305,5.0419939022590526e-05,0.0,7.352202382262205e-05,1.0,2165,0.2400842400842401,2033,0.2864162864162864,1122,0.3034398034398034,2060,0.27693927693927695
1699,1025,809,1640472713,1185400522,0,1206872683;102640435;295592966,佐敦道 Jordan Road,secondary,True,142.447,2,,,,,,"LINESTRING (114.161733 22.307471, 114.16186 22.307418, 114.161888 22.307409, 114.162254 22.307291, 114.162746 22.307103, 114.1628 22.30708, 114.162991 22.306951)",0.0,0.0,0.0,0.0,1.0,2520,0.05809055809055809,2520,0.05809055809055809,1122,0.3034398034398034,2520,0.05809055809055809
1700,1026,194,1640472718,339050813,0,947213778;335585837;947012302;151226350,油麻地交匯處 Yau Ma Tei Interchange,primary,True,133.065,1,50;80,,,,,"LINESTRING (114.160807 22.309236, 114.160772 22.309575, 114.160751 22.309732, 114.160725 22.309917, 114.160647 22.310423)",0.004997051161833304,7.383014195949391e-05,0.004533678756476684,0.000629090738711962,0.9998125708713532,1472,0.4833274833274833,1969,0.3092313092313092,45,0.9794664794664795,1377,0.517023517023517
1701,1026,201,1640472718,339051995,0,282222737;947010926;947012303,海寶路 Hoi Po Road,trunk_link,True,442.807,1,80,,,,,"LINESTRING (114.160807 22.309236, 114.160709 22.309566, 114.160614 22.309886, 114.160445 22.310583, 114.160403 22.310841, 114.160386 22.311055, 114.160381 22.311239, 114.160389 22.311409, 114.160446 22.311774, 114.160515 22.312211, 114.160538 22.312355, 114.1606 22.312735, 114.160636 22.312878, 114.160706 22.313147)",0.0002758348006270179,5.1675230406879355e-08,0.0,1.8350929502140539e-07,1.0,2314,0.18813618813618813,2513,0.11828711828711828,1122,0.3034398034398034,2511,0.11898911898911899
1702,1027,908,1640472735,1295869666,0,151226365;1234874707;1234874709,櫻桃街 Cherry Street,secondary,True,123.419,2;3,,,,,,"LINESTRING (114.158188 22.317279, 114.157826 22.317289, 114.15746 22.317302, 114.157256 22.317309, 114.15714 22.317313, 114.15705 22.317297, 114.156992 22.317283)",0.016733170293660917,0.0020192753523752146,0.0006476683937823658,0.005109684965714598,0.9996684063115061,625,0.780975780975781,449,0.8427518427518428,572,0.7032292032292032,419,0.8532818532818532
1703,1028,1029,1640472756,1640472796,0,151226288,振榮街 Chun Wing Street,residential,True,112.303,1,,,,,,"LINESTRING (114.161668 22.318134, 114.161624 22.318227, 114.161592 22.318313, 114.161585 22.318338, 114.161582 22.318366, 114.161579 22.319097, 114.16158 22.31913)",6.649320649016327e-05,3.9295654655276714e-05,0.0,0.00020480476403335102,0.9999335067935097,2464,0.13548613548613547,2086,0.26816426816426814,1122,0.3034398034398034,1818,0.3622323622323622
1704,1028,120,1640472756,332230895,0,735252195;735252196;250785074;250784885;30148765,大角咀道 Tai Kok Tsui Road;櫻桃街 Cherry Street,tertiary,True,167.22799999999998,2;3,,,,,,"LINESTRING (114.161668 22.318134, 114.161871 22.318212, 114.161928 22.318241, 114.161964 22.318272, 114.161988 22.318316, 114.161996 22.318366, 114.161996 22.31849, 114.161996 22.318556, 114.161996 22.318621, 114.161996 22.318644, 114.161996 22.318677, 114.161996 22.318778, 114.161996 22.31879, 114.161996 22.318872, 114.161991 22.318962, 114.161989 22.319059, 114.161988 22.319089, 114.161986 22.319132, 114.16198 22.31946)",0.002484354863116592,7.55130572555441e-05,0.0006476683937823658,0.0002473199277136474,0.999955424314192,1826,0.3594243594243594,1962,0.3116883116883117,572,0.7032292032292032,1754,0.3846963846963847
