node_id,osm_id,lon,lat,odbc,od_eff_loss,lscc_loss,td_loss,reachable_demand_share,odbc_rank,odbc_pct,od_eff_rank,od_eff_pct,lscc_rank,lscc_pct,td_rank,td_pct
33,276169958,114.178846,22.3269956,0.037039972268859474,0.004912349686614499,0.0032383419689119533,0.01516203232352796,0.9978475297928369,204,0.8828620888632429,290,0.8332371609924986,170,0.8814195037507213,305,0.8245816503173687
34,276372740,114.1701439,22.3088662,0.01996920402454365,0.0013449728654639362,0.0019430051813470973,0.003612352799833388,0.9989816826648681,586,0.6624350836699365,831,0.5210617426428159,372,0.727062896710906,812,0.5320253894979804
35,276372857,114.1689849,22.312658,0.020448500620345186,0.0013304270630528701,0.003886010362694319,0.0019334213753763772,0.9998357821979494,564,0.6751298326601269,836,0.5181765724177726,123,0.9163300634737449,1048,0.3958453548759377
36,276373355,114.1701052,22.3128531,0.03186329023772079,0.0011862033286708258,0.0006476683937823658,0.003195011660899147,0.9992772235159204,280,0.8390075014425851,873,0.49682631275245237,901,0.2951529140219273,863,0.502596653202539
37,276377951,114.1721924,22.3171476,0.00012518248936489184,0.0001186237876494007,0.0,0.0003855727757582789,0.9998748175106348,1602,0.07616849394114253,1459,0.15868436237738026,1545,0.054818234275822275,1434,0.17311021350259664
38,276378619,114.1869798,22.3154851,0.003808338707104567,0.00022191827041961903,0.0006476683937823658,0.00019021406437606895,1.0,1262,0.2723600692440854,1364,0.21350259665320254,901,0.2951529140219273,1508,0.13040969417195614
39,278947783,114.1572093,22.3276159,0.011882778975705766,0.00337792000512215,0.0006476683937823658,0.0017938215435793488,1.0,852,0.5089440276976341,423,0.7564916330063474,901,0.2951529140219273,1072,0.38199653779572995
40,278948068,114.1670005,22.3122444,0.012844894199196018,0.0011746607477207014,0.0012953367875647315,0.0011551360745266181,1.0,817,0.5291402192729371,880,0.4927870744373918,577,0.5744373918061165,1209,0.30294287362954414
41,278949226,114.1616453,22.3075206,0.0007202901672245305,5.0419939022590526e-05,0.0019430051813470973,7.352202382262205e-05,1.0,1502,0.13358338141950374,1521,0.12261973456433929,372,0.727062896710906,1556,0.10242354298903636
42,278949231,114.1628465,22.3068109,0.0023597002690582043,0.00015493078413594927,0.0019430051813470973,0.00037045386577864916,1.0,1377,0.20571263704558568,1421,0.18032313906520483,372,0.727062896710906,1439,0.16993652625504904
43,278950460,114.1594149,22.3032513,2.5387057819783408e-05,8.224111082441149e-06,0.002590673575129463,7.819430977577216e-05,0.9999746129421803,1623,0.06347374495095211,1604,0.07443739180611655,244,0.823139065204847,1552,0.10444316214656665
44,278950461,114.1596727,22.3030064,0.0031294932836515225,0.001677030560769491,0.002590673575129463,0.009276306333733402,0.9969887200354103,1316,0.24062319676860935,738,0.5741488747836122,244,0.823139065204847,476,0.7253317945758799
45,278951217,114.1606837,22.3076826,0.01279476775755241,0.0009807902265332408,0.006476683937823782,0.0034529050392658675,0.9998125708713532,820,0.5274091171379112,955,0.44950952106174263,32,0.9795152914021927,830,0.5216387766878245
46,278951219,114.1617719,22.3071931,0.000275573890007857,1.2273976442327272e-05,0.0006476683937823658,6.585457022776875e-05,1.0,1572,0.0934795152914022,1595,0.08020773225620312,901,0.2951529140219273,1561,0.0998268897864974
47,278951444,114.1604203,22.3051844,0.0032980295959793475,0.00029766019765961957,0.0012953367875647315,0.0028824448801507245,0.999132623651119,1307,0.2463935372186959,1305,0.24754760530871323,577,0.5744373918061165,900,0.4812463935372187
