component,strategy,target_fraction,fraction,n_removed,runs,edge_fraction_lost,node_fraction_lost,od_eff_norm,od_eff_norm_std,od_eff_norm_p025,od_eff_norm_p975,od_eff_loss,od_eff_loss_std,od_eff_loss_p025,od_eff_loss_p975,lscc_norm,lscc_norm_std,lscc_norm_p025,lscc_norm_p975,td_loss,td_loss_std,td_loss_p025,td_loss_p975,reachable_demand_share,reachable_demand_share_std,reachable_demand_share_p025,reachable_demand_share_p975
link,odbc,0.32,0.3201123201123201,912,1,0.3201123201123201,0.0,0.18200157134108905,0.0,0.18200157134108905,0.18200157134108905,0.8179984286589109,0.0,0.8179984286589109,0.8179984286589109,0.027849740932642485,0.0,0.027849740932642485,0.027849740932642485,3.0059113518038325,0.0,3.0059113518038325,3.0059113518038325,0.024738470356148817,0.0,0.024738470356148817,0.024738470356148817
link,odbc,0.34,0.34011934011934014,969,1,0.34011934011934014,0.0,0.15955959306228149,0.0,0.15955959306228149,0.15955959306228149,0.8404404069377185,0.0,0.8404404069377185,0.8404404069377185,0.027849740932642485,0.0,0.027849740932642485,0.027849740932642485,3.026111563493405,0.0,3.026111563493405,3.026111563493405,0.017979332771934683,0.0,0.017979332771934683,0.017979332771934683
link,odbc,0.36,0.3601263601263601,1026,1,0.3601263601263601,0.0,0.15654922456777468,0.0,0.15654922456777468,0.15654922456777468,0.8434507754322254,0.0,0.8434507754322254,0.8434507754322254,0.027849740932642485,0.0,0.027849740932642485,0.027849740932642485,3.038911399992071,0.0,3.038911399992071,3.038911399992071,0.013673508982406928,0.0,0.013673508982406928,0.013673508982406928
link,odbc,0.38,0.38013338013338016,1083,1,0.38013338013338016,0.0,0.15567557179658836,0.0,0.15567557179658836,0.15567557179658836,0.8443244282034117,0.0,0.8443244282034117,0.8443244282034117,0.02266839378238342,0.0,0.02266839378238342,0.02266839378238342,3.0404630310120218,0.0,3.0404630310120218,3.0404630310120218,0.013149973946998952,0.0,0.013149973946998952,0.013149973946998952
link,odbc,0.4,0.40014040014040014,1140,1,0.40014040014040014,0.0,0.1514390933242724,0.0,0.1514390933242724,0.1514390933242724,0.8485609066757276,0.0,0.8485609066757276,0.8485609066757276,0.02266839378238342,0.0,0.02266839378238342,0.02266839378238342,3.0454483119041447,0.0,3.0454483119041447,3.0454483119041447,0.011528307511042571,0.0,0.011528307511042571,0.011528307511042571
link,random,0.0,0.0,0,30,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
link,random,0.02,0.020007020007020006,57,30,0.020007020007020013,0.0,0.9298594010346588,0.022100414984014088,0.8915693152835098,0.9608394252482877,0.07014059896534114,0.022100414984014088,0.039160574751712335,0.10843068471649017,0.9631476683937824,0.009249538530739737,0.9458873056994818,0.9762305699481865,0.1729609217252953,0.04582975263781333,0.10882450675525016,0.2612795980046963,0.9602907856526589,0.015160858481797596,0.9307480378044031,0.9791892641631694
link,random,0.04,0.04001404001404001,114,30,0.04001404001404003,0.0,0.8548755259037321,0.035417654985449215,0.7821292110632199,0.9107001726451014,0.1451244740962681,0.03541765498544922,0.08929982735489857,0.21787078893678,0.914637305699482,0.015484744858860922,0.8837111398963731,0.936544689119171,0.4073209976791813,0.07753918243097871,0.30407389204489094,0.564624777586151,0.9010596576206565,0.024970524570925308,0.8476878740586146,0.937537467385865
link,random,0.06,0.06002106002106002,171,30,0.060021060021060016,0.0,0.7768801816632103,0.0366909902140474,0.6938981690993087,0.8341296994807192,0.22311981833678995,0.036690990214047405,0.1658703005192807,0.30610183090069126,0.8560664939550949,0.02495382288964685,0.8014572538860104,0.8927946891191709,0.6769799226534576,0.0776092381198728,0.5695379187048282,0.8268110325695414,0.8325860756756316,0.025581903131224062,0.7784666726427145,0.8642583631856062
link,random,0.08,0.08002808002808003,228,30,0.08002808002808005,0.0,0.6955187983123781,0.03803500490621596,0.6213308915224481,0.7518698534259212,0.3044812016876222,0.03803500490621596,0.24813014657407878,0.37866910847755186,0.7841321243523317,0.035307566384847826,0.7228788860103628,0.8455958549222797,0.9624267194067195,0.12360876790110188,0.7835019900980007,1.2296220128057533,0.7573723770248145,0.03941222254236124,0.6771893871032807,0.8050950705048673
