component,strategy,run,seed,target_fraction,fraction,n_removed,edge_fraction_lost,node_fraction_lost,od_eff,od_eff_norm,od_eff_loss,lscc,lscc_norm,penalized_total_distance,td_loss,reachable_demand_share
node,random,1,20360906,0.26,0.26024235429890363,451,0.45279045279045277,0.26024235429890363,0.00011258977056134602,0.1675872263743128,0.8324127736256872,0.04904789382573572,0.05505181347150259,6314987890.240017,3.011207364672131,0.02245642381858969
node,random,1,20360906,0.28,0.27986151182919794,485,0.4822744822744823,0.27986151182919794,8.987033332808912e-05,0.13376987821094433,0.8662301217890557,0.02308136180034622,0.02590673575129534,6342295427.407287,3.0285527968566806,0.0168271137592247
node,random,1,20360906,0.3,0.3000577034045009,520,0.5131625131625132,0.3000577034045009,8.96871235358735e-05,0.13349717474269007,0.8665028252573099,0.02308136180034622,0.02590673575129534,6342904587.711602,3.0289397284456885,0.016701490108979408
node,random,1,20360906,0.32,0.32025389497980383,555,0.5415935415935416,0.32025389497980383,8.618968229256832e-05,0.1282913156806247,0.8717086843193753,0.020196191575302943,0.02266839378238342,6358170510.149518,3.0386364660445238,0.013543392811625582
node,random,1,20360906,0.34,0.3398730525100981,589,0.5675675675675675,0.3398730525100981,8.618968229256832e-05,0.1282913156806247,0.8717086843193753,0.016156953260242354,0.018134715025906734,6358170510.149518,3.0386364660445238,0.013543392811625582
node,random,1,20360906,0.36,0.36006924408540103,624,0.5935415935415935,0.36006924408540103,8.605189096910735e-05,0.12808621653527483,0.8719137834647251,0.016156953260242354,0.018134715025906734,6359005791.159635,3.03916702689398,0.013353129518483156
node,random,1,20360906,0.38,0.380265435660704,659,0.6212706212706213,0.380265435660704,7.955125464343203e-05,0.11841017220143862,0.8815898277985614,0.009809578765147143,0.011010362694300517,6377822417.148145,3.0511191303746603,0.009456763255903783
node,random,1,20360906,0.4,0.3998845931909983,693,0.6482976482976482,0.3998845931909983,4.15841895929055e-05,0.06189708852014631,0.9381029114798537,0.009809578765147143,0.011010362694300517,6399214069.296165,3.064706860728231,0.005045285015164299
node,random,2,20360907,0.0,0.0,0,0.0,0.0,0.0006718278773220594,1.0,0.0,0.8909405654933641,1.0,1574335933.3296878,0.0,1.0
node,random,2,20360907,0.02,0.020196191575302943,35,0.03931203931203931,0.020196191575302943,0.0006006657357667044,0.8940768253931187,0.10592317460688128,0.8413156376226197,0.944300518134715,2095465572.4506457,0.3310155273015839,0.9015708938772988
node,random,2,20360907,0.04,0.03981534910559723,69,0.08037908037908038,0.03981534910559723,0.0005154386626589728,0.7672183308521492,0.2327816691478508,0.7564916330063474,0.8490932642487047,2961532798.956362,0.881131425802358,0.7309042665003225
node,random,2,20360907,0.06,0.06001154068090017,104,0.12039312039312039,0.06001154068090017,0.00044191889576425576,0.6577858863579275,0.34221411364207255,0.6589728793998846,0.7396373056994818,3550335299.07951,1.2551319727363555,0.6230014547747964
node,random,2,20360907,0.08,0.08020773225620312,139,0.1547911547911548,0.08020773225620312,0.0003960085965116086,0.5894494853207333,0.41055051467926673,0.6001154068090018,0.6735751295336788,3950698389.206273,1.5094379830679643,0.5650312297269655
node,random,2,20360907,0.1,0.0998268897864974,173,0.1898911898911899,0.0998268897864974,0.00036119051112571115,0.5376235838343524,0.4623764161656476,0.5308713214079631,0.5958549222797929,4371423651.100508,1.7766778097067486,0.4973478003806657
node,random,2,20360907,0.12,0.12002308136180034,208,0.22639522639522638,0.12002308136180034,0.00032914449795784414,0.489923846670119,0.510076153329881,0.45412579342181186,0.5097150259067358,4751420046.208281,2.018047130614065,0.4118998677005779
node,random,2,20360907,0.14,0.1402192729371033,243,0.26114426114426115,0.1402192729371033,0.0002927617077772859,0.43576891888477326,0.5642310811152267,0.3554529717253318,0.3989637305699482,5190480589.130407,2.2969333159744685,0.3081934356002379
node,random,2,20360907,0.16,0.15983843046739757,277,0.29343629343629346,0.15983843046739757,0.00026901560351784773,0.4004234009909768,0.5995765990090232,0.28620888632429314,0.3212435233160622,5489593689.574614,2.486926502378839,0.2421425267368452
node,random,2,20360907,0.18,0.18003462204270052,312,0.3281853281853282,0.18003462204270052,0.000191719605238724,0.28537012486431534,0.7146298751356847,0.2533179457587998,0.28432642487046633,5815778540.991234,2.6941153523003076,0.16395742262479868
node,random,2,20360907,0.2,0.20023081361800346,347,0.36117936117936117,0.20023081361800346,0.00017020157490202413,0.2533410426201074,0.7466589573798925,0.06982111944604731,0.0783678756476684,6075185358.710353,2.858887566557324,0.08760310909423265
node,random,2,20360907,0.22,0.21984997114829774,381,0.3906633906633907,0.21984997114829774,0.00016082405839497194,0.23938282977483005,0.76061717022517,0.031736872475476054,0.03562176165803109,6196583282.235836,2.935998125336688,0.049101536189489696
node,random,2,20360907,0.24,0.2400461627236007,416,0.4201474201474201,0.2400461627236007,0.0001547236596382976,0.23030252965243733,0.7696974703475626,0.030005770340450086,0.03367875647668394,6262998958.362782,2.978184595657846,0.03563727187557931
node,random,2,20360907,0.26,0.26024235429890363,451,0.44963144963144963,0.26024235429890363,5.464158485680395e-05,0.08133271437709333,0.9186672856229067,0.02308136180034622,0.02590673575129534,6351065705.013361,3.0341235758882723,0.015407565691816285
node,random,2,20360907,0.28,0.27986151182919794,485,0.4801684801684802,0.27986151182919794,5.3401725061174335e-05,0.0794872122217321,0.920512787778268,0.02308136180034622,0.02590673575129534,6357822928.897705,3.0384156864482166,0.013829988262712981
node,random,2,20360907,0.3,0.3000577034045009,520,0.5082485082485082,0.3000577034045009,5.204544276696031e-05,0.0774684179144458,0.9225315820855542,0.013271783035199077,0.01489637305699482,6369531619.379187,3.0458529113972257,0.011118831552907655
node,random,2,20360907,0.32,0.32025389497980383,555,0.5363285363285363,0.32025389497980383,5.041536624175436e-05,0.07504208733152398,0.924957912668476,0.01154068090017311,0.01295336787564767,6373736245.979354,3.0485236416468204,0.010251173337872423
node,random,2,20360907,0.34,0.3398730525100981,589,0.5612495612495613,0.3398730525100981,5.021977207548237e-05,0.07475095001365674,0.9252490499863433,0.01154068090017311,0.01295336787564767,6373971087.830081,3.048672810477789,0.010202743244332646
node,random,2,20360907,0.36,0.36006924408540103,624,0.59003159003159,0.36006924408540103,4.823051480730939e-05,0.07178998733955297,0.928210012660447,0.01154068090017311,0.01295336787564767,6378013710.307153,3.051240637579672,0.009369056300953095
node,random,2,20360907,0.38,0.380265435660704,659,0.6135486135486136,0.380265435660704,4.6615663369318244e-05,0.06938631894099227,0.9306136810590078,0.01154068090017311,0.01295336787564767,6379977062.100991,3.05248773596082,0.008964165474498572
node,random,2,20360907,0.4,0.3998845931909983,693,0.6346086346086346,0.3998845931909983,3.866784332291348e-05,0.057556175663691575,0.9424438243363085,0.01154068090017311,0.01295336787564767,6390404742.261264,3.059111277950501,0.006813230977732159
node,random,3,20360908,0.0,0.0,0,0.0,0.0,0.0006718278773220594,1.0,0.0,0.8909405654933641,1.0,1574335933.3296878,0.0,1.0
node,random,3,20360908,0.02,0.020196191575302943,35,0.0343980343980344,0.020196191575302943,0.0006211313896917403,0.9245394700910627,0.07546052990893726,0.8338141950375072,0.935880829015544,2046092999.3835573,0.2996546391824476,0.9149606981609395
node,random,3,20360908,0.04,0.03981534910559723,69,0.07125307125307126,0.03981534910559723,0.0005578902342184411,0.830406497036444,0.16959350296355602,0.7766878245816503,0.8717616580310881,2470063024.4928493,0.5689555019358018,0.8502626842688694
node,random,3,20360908,0.06,0.06001154068090017,104,0.11196911196911197,0.06001154068090017,0.0004431304310192937,0.6595892281005583,0.3404107718994417,0.6468551644547028,0.7260362694300518,3490590230.2250257,1.2171825951037654,0.6593214693389933
node,random,3,20360908,0.08,0.08020773225620312,139,0.151983151983152,0.08020773225620312,0.00034104994177584633,0.5076448198834633,0.4923551801165367,0.5591459896133872,0.6275906735751297,4264656041.0276427,1.7088602570405567,0.4947870092427709
node,random,3,20360908,0.1,0.0998268897864974,173,0.18673218673218672,0.0998268897864974,0.0003012399673541025,0.4483886089318898,0.5516113910681102,0.48182342758222735,0.5408031088082902,4750555001.625375,2.0174976642869664,0.3788353423109014
node,random,3,20360908,0.12,0.12002308136180034,208,0.22674622674622674,0.12002308136180034,0.00025269251281551943,0.37612686425392894,0.6238731357460711,0.4275822273514137,0.4799222797927461,5170591655.569567,2.2843000951098618,0.29426560470981905
node,random,3,20360908,0.14,0.1402192729371033,243,0.2625482625482625,0.1402192729371033,0.00013459936689769346,0.20034799305175233,0.7996520069482477,0.36930178880553954,0.4145077720207254,5438743838.0337305,2.4546272640369073,0.24170088118755728
node,random,3,20360908,0.16,0.15983843046739757,277,0.29694629694629693,0.15983843046739757,0.00010935660411059044,0.16277473412757373,0.8372252658724263,0.3035199076745528,0.34067357512953367,5717495316.327973,2.631686983244795,0.18253462013111169
node,random,3,20360908,0.18,0.18003462204270052,312,0.3288873288873289,0.18003462204270052,7.565011731023384e-05,0.11260342100089553,0.8873965789991045,0.15983843046739757,0.1794041450777202,6078650300.437264,2.8610884575193842,0.08100743413836706
node,random,3,20360908,0.2,0.20023081361800346,347,0.36117936117936117,0.20023081361800346,5.93430730590355e-05,0.08833076902908532,0.9116692309709147,0.09867282169648009,0.11075129533678757,6238806450.416423,2.9628177940533162,0.043058397307325254
node,random,3,20360908,0.22,0.21984997114829774,381,0.39276939276939277,0.21984997114829774,4.3446480025379686e-05,0.06466906404443888,0.9353309359555612,0.04731679169070975,0.05310880829015544,6301349714.226154,3.0025445528000687,0.028367984398167196
node,random,3,20360908,0.24,0.2400461627236007,416,0.42295542295542293,0.2400461627236007,3.8133357660511494e-05,0.05676060632153734,0.9432393936784627,0.04385458742065782,0.04922279792746114,6337675369.018038,3.0256181891332337,0.018347845764279305
node,random,3,20360908,0.26,0.26024235429890363,451,0.4541944541944542,0.26024235429890363,3.652282845427085e-05,0.05436337146331696,0.9456366285366831,0.038084246970571264,0.042746113989637305,6348708055.976794,3.032626024452995,0.01597807189948532
node,random,3,20360908,0.28,0.27986151182919794,485,0.4826254826254826,0.27986151182919794,3.524372558366808e-05,0.052459456913504975,0.947540543086495,0.025966532025389497,0.029145077720207253,6353289670.767707,3.0355362132468326,0.01500514274017371
node,random,3,20360908,0.3,0.3000577034045009,520,0.5135135135135135,0.3000577034045009,3.294181006647703e-05,0.04903310978666855,0.9509668902133315,0.02308136180034622,0.02590673575129534,6360374476.020459,3.0400363997081605,0.013731801335614148
node,random,3,20360908,0.32,0.32025389497980383,555,0.5440505440505441,0.32025389497980383,3.1227124105328015e-05,0.046480840047604076,0.9535191599523959,0.02308136180034622,0.02590673575129534,6377990931.994956,3.0512261690588725,0.009869538755828713
node,random,3,20360908,0.34,0.3398730525100981,589,0.5728325728325728,0.3398730525100981,3.049468453640663e-05,0.04539062096970435,0.9546093790302956,0.022504327755337564,0.025259067357512953,6379740186.510518,3.0523372753218556,0.009482180565853404
node,random,3,20360908,0.36,0.36006924408540103,624,0.5991575991575991,0.36006924408540103,2.7590614825029967e-05,0.04106798148211352,0.9589320185178865,0.009232544720138488,0.010362694300518135,6403562410.972952,3.067468877134469,0.0041015010935821
node,random,3,20360908,0.38,0.380265435660704,659,0.6244296244296245,0.380265435660704,2.710395232986456e-05,0.040343595800016986,0.959656404199983,0.009232544720138488,0.010362694300518135,6404414606.711781,3.0680101820242243,0.0039257576338118895
node,random,3,20360908,0.4,0.3998845931909983,693,0.6479466479466479,0.3998845931909983,1.0165938969189909e-05,0.015131761143511738,0.9848682388564882,0.008655510675129832,0.009715025906735751,6411328489.34765,3.0724018004136022,0.0024967893185674174
node,random,4,20360909,0.0,0.0,0,0.0,0.0,0.0006718278773220594,1.0,0.0,0.8909405654933641,1.0,1574335933.3296878,0.0,1.0
node,random,4,20360909,0.02,0.020196191575302943,35,0.03896103896103896,0.020196191575302943,0.0006286903876504634,0.9357908608324735,0.06420913916752646,0.8338141950375072,0.935880829015544,1942905453.1107736,0.23411110168943983,0.9402305357006134
