component,strategy,run,target_fraction,fraction,n_removed,reachable_share,reach_loss,mean_m,median_m,p90_m,p95_m
link,odbc,0,0.26,0.2600912600912601,741,0.38066129480411226,0.4906918588496805,2603.1163211678836,2650.7520000000004,5855.355,5956.513999999999
link,odbc,0,0.28,0.2800982800982801,798,0.2889691580994721,0.5823839955543206,2062.3196461538464,1392.4845000000005,5118.303,5781.128000000001
link,odbc,0,0.3,0.3001053001053001,855,0.2817449291469853,0.5896082245068075,2443.0803609467453,1326.1070000000004,5681.626999999999,7437.266999999999
link,odbc,0,0.32,0.3201123201123201,912,0.19977771603223118,0.6715754376215616,1135.9394853963838,0.0,3601.2432000000003,7229.746
link,odbc,0,0.34,0.34011934011934014,969,0.19894415115309808,0.6724090025006947,1126.5942067039107,0.0,3601.9845000000005,7229.746
link,odbc,0,0.36,0.3601263601263601,1026,0.19672131147540983,0.6746318421783829,1135.245738700565,0.0,3610.041700000002,7229.746
link,odbc,0,0.38,0.38013338013338016,1083,0.1514309530425118,0.7199222006112809,246.40824770642206,0.0,1326.1070000000004,1547.9750000000006
link,odbc,0,0.4,0.40014040014040014,1140,0.1414281744929147,0.7299249791608781,158.40375049115917,0.0,869.9141999999994,1308.4790000000005
link,random,1,0.0,0.0,0,0.8713531536537927,0.0,1678.3658804209185,1813.3350000000003,2515.206,3245.7529999999997
link,random,1,0.02,0.020007020007020006,57,0.8566268407891081,0.01472631286468462,1698.2008890690886,1866.332,2608.2690000000002,3253.5262999999973
link,random,1,0.04,0.04001404001404001,114,0.7732703528757988,0.09808280077799392,1711.3506381602588,1786.171,2893.32,3694.6769999999997
link,random,1,0.06,0.06002106002106002,171,0.7610447346485135,0.11030841900527921,1754.2030635268345,1843.156,2913.763,3694.6769999999997
link,random,1,0.08,0.08002808002808003,228,0.7046401778271743,0.16671297582661848,1838.4969373028391,1964.047,3252.82,3776.6550000000007
link,random,1,0.1,0.10003510003510004,285,0.648235621005835,0.22311753264795775,1851.1507599657095,1922.562,3706.603,4318.775
link,random,1,0.12,0.12004212004212005,342,0.6118366212836899,0.25951653237010286,1994.8320890099908,2118.405,4114.042,4449.236
link,random,1,0.14,0.14004914004914004,399,0.5907196443456516,0.2806335093081411,2331.2037163687673,2446.4815,4894.644,5789.894999999999
link,random,1,0.16,0.16005616005616005,456,0.3464851347596555,0.5248680188941373,1730.4006968724939,1133.632,4760.957999999998,4956.407999999999
link,random,1,0.18,0.18006318006318006,513,0.33398166157265907,0.5373714920811337,1795.7284367720465,1124.3600000000001,4956.407999999999,6119.811999999999
link,random,1,0.2,0.20007020007020007,570,0.29952764656849123,0.5718255070853016,2387.5602680890543,814.8800000000001,7968.975000000001,9013.036399999999
link,random,1,0.22,0.22007722007722008,627,0.24729091414281745,0.6240622395109753,1266.0875752808988,22.3775,4771.701900000001,6310.593850000001
link,random,1,0.24,0.2400842400842401,684,0.22033898305084745,0.6510141706029453,964.917944514502,0.0,2885.574,5044.6882000000005
link,random,1,0.26,0.2600912600912601,741,0.21144762434009448,0.6599055293136983,947.9580709592642,0.0,2885.574,5438.18
link,random,1,0.28,0.2800982800982801,798,0.19505418171714364,0.6762989719366491,609.1556709401709,0.0,2043.513,2885.574
link,random,1,0.3,0.3001053001053001,855,0.1928313420394554,0.6785218116143373,596.310128242075,0.0,2043.513,2885.574
link,random,1,0.32,0.3201123201123201,912,0.17560433453737148,0.6957488191164213,501.3543892405063,0.0,2043.513,2885.574
link,random,1,0.34,0.34011934011934014,969,0.1694915254237288,0.7018616282300639,442.516262295082,0.0,1744.1390000000001,2885.574
link,random,1,0.36,0.3601263601263601,1026,0.15004167824395664,0.7213114754098361,256.91987222222224,0.0,1039.7529000000013,2043.513
link,random,1,0.38,0.38013338013338016,1083,0.14587385384829119,0.7254792998055015,226.03019999999998,0.0,563.6720000000028,2043.513
link,random,1,0.4,0.40014040014040014,1140,0.14476243400944708,0.7265907196443456,224.314547024952,0.0,611.6800000000001,2043.513
link,random,2,0.0,0.0,0,0.8713531536537927,0.0,1678.3658804209185,1813.3350000000003,2515.206,3245.7529999999997
link,random,2,0.02,0.020007020007020006,57,0.8616282300639067,0.00972492358988608,1728.6871789745244,1875.4920000000004,2766.389,3515.656
link,random,2,0.04,0.04001404001404001,114,0.8366212836899138,0.03473186996387889,1789.792301893059,1929.1889999999999,2828.818999999999,3218.106
link,random,2,0.06,0.06002106002106002,171,0.8252292303417617,0.04612392331203108,2111.504238383838,2264.3819999999996,3691.9710999999998,4128.325
link,random,2,0.08,0.08002808002808003,228,0.8118921922756321,0.05946096137816059,2777.478577344285,3295.2170000000006,4246.982,4674.679000000001
link,random,2,0.1,0.10003510003510004,285,0.7146429563767713,0.1567101972770214,2672.665724339036,3123.331,4348.428,4785.681999999999
link,random,2,0.12,0.12004212004212005,342,0.6907474298416226,0.1806057238121701,2853.6423407079646,3091.5790000000006,5777.860000000001,5962.325000000001
link,random,2,0.14,0.14004914004914004,399,0.6168380105584884,0.2545151430953043,2670.6138770270272,2920.3595000000005,4803.64,5777.860000000001
link,random,2,0.16,0.16005616005616005,456,0.5126424006668518,0.3587107529869409,2748.302030894309,3146.5190000000002,5550.67660000001,5814.829599999998
link,random,2,0.18,0.18006318006318006,513,0.4612392331203112,0.41011392053348156,2731.011384939759,3124.5635,5229.971300000002,5781.128000000001
link,random,2,0.2,0.20007020007020007,570,0.4003889969435954,0.4709641567101973,2737.30166204025,2885.574,6414.809000000001,7247.914
link,random,2,0.22,0.22007722007722008,627,0.38816337871631007,0.48318977493748266,2698.6183629205443,2799.997,6405.461000000001,7284.241999999999
link,random,2,0.24,0.2400842400842401,684,0.35982217282578494,0.5115309808280077,3343.9502200772204,2613.7929999999997,7871.138,9910.0197
link,random,2,0.26,0.2600912600912601,741,0.32397888302306194,0.5473742706307307,3234.6359339622645,2092.1010000000006,8336.003,10047.337000000001
link,random,2,0.28,0.2800982800982801,798,0.20116699083078632,0.6701861628230064,1113.0139917127071,0.0,3847.049,5214.634
link,random,2,0.3,0.3001053001053001,855,0.18671853292581272,0.68463462072798,999.2946130952381,0.0,3829.498,5214.634
link,random,2,0.32,0.3201123201123201,912,0.16143373159210891,0.7099194220616838,463.8892753872634,0.0,2043.513,2885.574
link,random,2,0.34,0.34011934011934014,969,0.15643234231731037,0.7149208113364823,424.2831793960924,0.0,2043.513,2885.574
link,random,2,0.36,0.3601263601263601,1026,0.15365379272020005,0.7176993609335927,398.1891157323689,0.0,2043.513,2885.574
link,random,2,0.38,0.38013338013338016,1083,0.13642678521811613,0.7349263684356766,109.66689002036662,0.0,0.0,1121.2720000000004
link,random,2,0.4,0.40014040014040014,1140,0.13642678521811613,0.7349263684356766,109.66689002036662,0.0,0.0,1121.2720000000004
link,random,3,0.0,0.0,0,0.8713531536537927,0.0,1678.3658804209185,1813.3350000000003,2515.206,3245.7529999999997
