component,strategy,target_fraction,fraction,n_removed,runs,reachable_share,reachable_share_std,reachable_share_p025,reachable_share_p975,reach_loss,reach_loss_std,reach_loss_p025,reach_loss_p975,mean_m,mean_m_std,mean_m_p025,mean_m_p975,median_m,median_m_std,median_m_p025,median_m_p975,p90_m,p90_m_std,p90_m_p025,p90_m_p975,p95_m,p95_m_std,p95_m_p025,p95_m_p975
link,od_eff,0.1,0.10003510003510004,285,1,0.6251736593498194,0.0,0.6251736593498194,0.6251736593498194,0.24617949430397335,0.0,0.24617949430397335,0.24617949430397335,1678.5762497777778,0.0,1678.5762497777778,1678.5762497777778,1712.002,0.0,1712.002,1712.002,2890.768000000001,0.0,2890.768000000001,2890.768000000001,3860.192,0.0,3860.192,3860.192
link,od_eff,0.12,0.12004212004212005,342,1,0.5965545984995833,0.0,0.5965545984995833,0.5965545984995833,0.2747985551542095,0.0,0.2747985551542095,0.2747985551542095,1676.1942738705172,0.0,1676.1942738705172,1676.1942738705172,1661.2869999999998,0.0,1661.2869999999998,1661.2869999999998,3056.0060000000003,0.0,3056.0060000000003,3056.0060000000003,4004.267899999987,0.0,4004.267899999987,4004.267899999987
link,od_eff,0.14,0.14004914004914004,399,1,0.5782161711586552,0.0,0.5782161711586552,0.5782161711586552,0.29313698249513753,0.0,0.29313698249513753,0.29313698249513753,1882.09409899087,0.0,1882.09409899087,1882.09409899087,2067.757,0.0,2067.757,2067.757,3198.72,0.0,3198.72,3198.72,4266.533,0.0,4266.533,4266.533
link,od_eff,0.16,0.16005616005616005,456,1,0.4831897749374826,0.0,0.4831897749374826,0.4831897749374826,0.3881633787163101,0.0,0.3881633787163101,0.3881633787163101,1914.1492133410004,0.0,1914.1492133410004,1914.1492133410004,1984.8980000000004,0.0,1984.8980000000004,1984.8980000000004,3570.919000000001,0.0,3570.919000000001,3570.919000000001,4266.533,0.0,4266.533,4266.533
link,od_eff,0.18,0.18006318006318006,513,1,0.4737427063073076,0.0,0.4737427063073076,0.4737427063073076,0.39761044734648515,0.0,0.39761044734648515,0.39761044734648515,1909.6877630498534,0.0,1909.6877630498534,1909.6877630498534,2042.2040000000004,0.0,2042.2040000000004,2042.2040000000004,3545.6749999999997,0.0,3545.6749999999997,3545.6749999999997,4266.533,0.0,4266.533,4266.533
link,od_eff,0.2,0.20007020007020007,570,1,0.4423450958599611,0.0,0.4423450958599611,0.4423450958599611,0.4290080577938316,0.0,0.4290080577938316,0.4290080577938316,1993.118560929648,0.0,1993.118560929648,1993.118560929648,2228.5319999999992,0.0,2228.5319999999992,2228.5319999999992,3706.7089000000014,0.0,3706.7089000000014,3706.7089000000014,4494.708,0.0,4494.708,4494.708
link,od_eff,0.22,0.22007722007722008,627,1,0.4087246457349264,0.0,0.4087246457349264,0.4087246457349264,0.46262850791886634,0.0,0.46262850791886634,0.46262850791886634,2053.455660774983,0.0,2053.455660774983,2053.455660774983,2563.995,0.0,2563.995,2563.995,3708.5209999999997,0.0,3708.5209999999997,3708.5209999999997,4494.708,0.0,4494.708,4494.708
link,od_eff,0.24,0.2400842400842401,684,1,0.126146151708808,0.0,0.126146151708808,0.126146151708808,0.7452070019449848,0.0,0.7452070019449848,0.7452070019449848,3.2704691629955946,0.0,3.2704691629955946,3.2704691629955946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,od_eff,0.26,0.2600912600912601,741,1,0.126146151708808,0.0,0.126146151708808,0.126146151708808,0.7452070019449848,0.0,0.7452070019449848,0.7452070019449848,3.2704691629955946,0.0,3.2704691629955946,3.2704691629955946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,od_eff,0.28,0.2800982800982801,798,1,0.126146151708808,0.0,0.126146151708808,0.126146151708808,0.7452070019449848,0.0,0.7452070019449848,0.7452070019449848,3.2704691629955946,0.0,3.2704691629955946,3.2704691629955946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
