node_id,osm_id,lon,lat,in_degree,out_degree,undir_deg,geometry
705,1168315964,114.1647308,22.3120879,2,2,4,POINT (114.164731 22.312088)
706,1168315967,114.1662607,22.3122609,1,2,3,POINT (114.166261 22.312261)
707,1168315980,114.1608067,22.3260418,2,1,3,POINT (114.160807 22.326042)
708,1168315988,114.1665065,22.3160663,2,1,3,POINT (114.166506 22.316066)
709,1168316001,114.1610553,22.3265739,2,2,4,POINT (114.161055 22.326574)
710,1168316008,114.1674658,22.3124983,2,1,3,POINT (114.167466 22.312498)
711,1168316016,114.1670026,22.3123356,2,2,4,POINT (114.167003 22.312336)
712,1168316017,114.1643364,22.3120395,1,2,3,POINT (114.164336 22.31204)
713,1168380653,114.1675095,22.3123852,1,3,4,POINT (114.16751 22.312385)
714,1168380668,114.1666281,22.3121802,2,1,3,POINT (114.166628 22.31218)
715,1168380684,114.1666465,22.3132112,2,1,3,POINT (114.166646 22.313211)
716,1168380691,114.1670711,22.3129257,1,2,3,POINT (114.167071 22.312926)
717,1168421045,114.1566095,22.3203627,3,3,4,POINT (114.15661 22.320363)
718,1169220172,114.1797125,22.3270195,1,2,3,POINT (114.179712 22.32702)
719,1171655922,114.1678504,22.309906,1,2,3,POINT (114.16785 22.309906)
720,1172166298,114.1668186,22.3089739,1,2,3,POINT (114.166819 22.308974)
721,1172166308,114.163278,22.3170216,0,1,1,POINT (114.163278 22.317022)
722,1172166339,114.1648004,22.3123638,1,2,3,POINT (114.1648 22.312364)
723,1172166343,114.1648368,22.3121048,2,2,4,POINT (114.164837 22.312105)
724,1172166352,114.1634916,22.3173502,2,1,3,POINT (114.163492 22.31735)
725,1172166362,114.1663878,22.3089519,3,2,4,POINT (114.166388 22.308952)
726,1172166366,114.1646221,22.3126435,1,2,3,POINT (114.164622 22.312644)
727,1172166367,114.1648646,22.3119507,2,2,4,POINT (114.164865 22.311951)
728,1172166382,114.1647345,22.3126681,2,1,3,POINT (114.164734 22.312668)
729,1172166386,114.1646604,22.3124287,2,1,3,POINT (114.16466 22.312429)
730,1172757415,114.1713838,22.3084989,2,2,4,POINT (114.171384 22.308499)
731,1172757469,114.1831781,22.3021465,2,1,3,POINT (114.183178 22.302146)
732,1172757532,114.1613987,22.3232103,0,1,1,POINT (114.161399 22.32321)
733,1172757541,114.1841638,22.302222,2,2,4,POINT (114.184164 22.302222)
734,1172757683,114.1620455,22.3204722,2,2,4,POINT (114.162046 22.320472)
735,1172757712,114.171555,22.3103292,1,1,1,POINT (114.171555 22.310329)
736,1172757772,114.1840673,22.3020099,1,2,3,POINT (114.184067 22.30201)
737,1172757801,114.1710171,22.3109217,2,1,3,POINT (114.171017 22.310922)
738,1172757812,114.1613858,22.3241377,3,2,3,POINT (114.161386 22.324138)
739,1172757887,114.159975,22.3225054,1,1,1,POINT (114.159975 22.322505)
740,1172757924,114.1833995,22.3060181,2,1,3,POINT (114.1834 22.306018)
741,1172757927,114.1842762,22.3037314,1,2,3,POINT (114.184276 22.303731)
742,1172757980,114.1619248,22.3219673,2,1,3,POINT (114.161925 22.321967)
743,1172757982,114.1705705,22.3108343,3,1,4,POINT (114.17057 22.310834)
744,1172757984,114.18435,22.302041,2,1,3,POINT (114.18435 22.302041)
745,1172757991,114.183922,22.302182,2,1,3,POINT (114.183922 22.302182)
746,1172757994,114.1619166,22.3225298,1,2,3,POINT (114.161917 22.32253)
747,1172758011,114.1810837,22.306179,1,2,3,POINT (114.181084 22.306179)
748,1172758015,114.1619401,22.3209248,1,2,3,POINT (114.16194 22.320925)
749,1172758017,114.1606575,22.3232017,1,0,1,POINT (114.160658 22.323202)
750,1172758045,114.1618649,22.3241179,2,2,4,POINT (114.161865 22.324118)
751,1178971320,114.1692284,22.3230551,1,0,1,POINT (114.169228 22.323055)
752,1178971321,114.1649949,22.3227263,1,2,3,POINT (114.164995 22.322726)
753,1178971331,114.1658798,22.3225132,1,2,3,POINT (114.16588 22.322513)
754,1178971336,114.1696699,22.3237063,2,1,3,POINT (114.16967 22.323706)
755,1178971337,114.1692075,22.3232648,1,0,1,POINT (114.169208 22.323265)
756,1178971339,114.1672571,22.3234326,1,2,3,POINT (114.167257 22.323433)
757,1178971355,114.1660836,22.3215336,2,1,3,POINT (114.166084 22.321534)
758,1178971357,114.1669169,22.3236924,2,2,4,POINT (114.166917 22.323692)
759,1178971359,114.1679669,22.3228839,2,1,3,POINT (114.167967 22.322884)
760,1178971361,114.1667943,22.3237902,2,2,4,POINT (114.166794 22.32379)
761,1178971367,114.1656945,22.3212188,2,1,3,POINT (114.165694 22.321219)
762,1178971377,114.1687021,22.3229207,1,2,3,POINT (114.168702 22.322921)
763,1178971380,114.1652752,22.3248406,2,1,3,POINT (114.165275 22.324841)
764,1179001818,114.1677801,22.3238447,1,2,3,POINT (114.16778 22.323845)
765,1179001823,114.1675281,22.3250123,1,2,3,POINT (114.167528 22.325012)
766,1179010012,114.1721513,22.3246198,1,2,3,POINT (114.172151 22.32462)
767,1180356947,114.178172,22.3103916,2,1,2,POINT (114.178172 22.310392)
768,1180356949,114.1768845,22.3120852,1,2,2,POINT (114.176884 22.312085)
769,1180686912,114.1672937,22.3264702,1,2,3,POINT (114.167294 22.32647)
770,1180686922,114.1674069,22.3267296,2,1,3,POINT (114.167407 22.32673)
771,1180686933,114.1710358,22.3266432,2,1,3,POINT (114.171036 22.326643)
772,1180709229,114.1653393,22.32639,2,1,3,POINT (114.165339 22.32639)
773,1180818602,114.1590862,22.3297289,2,2,4,POINT (114.159086 22.329729)
774,1180818606,114.160894,22.3283586,1,2,3,POINT (114.160894 22.328359)
775,1180818608,114.1600563,22.3289989,2,2,3,POINT (114.160056 22.328999)
776,1180818611,114.164854,22.3252977,1,2,3,POINT (114.164854 22.325298)
777,1180818612,114.1617745,22.3276787,2,2,4,POINT (114.161774 22.327679)
778,1181846009,114.1648719,22.3251607,2,2,4,POINT (114.164872 22.325161)
779,1181846013,114.1651926,22.3311984,2,1,3,POINT (114.165193 22.331198)
780,1181846018,114.1618478,22.3274543,2,2,4,POINT (114.161848 22.327454)
