link_id,from_node,to_node,u_osm,v_osm,edge_key,osm_way,name,highway,oneway,length_m,lanes,maxspeed,ref,access,bridge,tunnel,geometry
2031,1220,742,2404926823,1172757980,0,103020418,大全街 Tai Tsun Street,residential,True,61.404,1,,,,,,"LINESTRING (114.161328 22.32196, 114.161925 22.321967)"
2032,1221,1220,2404926827,2404926823,0,232126320,大政街 Tai Ching Street,residential,True,60.64,1,,,,,,"LINESTRING (114.161336 22.321414, 114.161329 22.321914, 114.161328 22.32196)"
2033,1222,336,2454355466,568157089,0,238019068,太子道東 Prince Edward Road East,primary,True,87.51599999999999,2,50,,,,,"LINESTRING (114.196575 22.332021, 114.196148 22.331914, 114.195978 22.331857, 114.195772 22.331767)"
2034,1223,1499,2545282593,6705233093,0,247650888;105029002,民泰街 Man Tai Street,residential,True,204.67100000000002,1,,,,,,"LINESTRING (114.189028 22.305995, 114.18904 22.306054, 114.189037 22.306099, 114.189014 22.306173, 114.18892 22.306229, 114.188589 22.306431, 114.188439 22.306522, 114.188174 22.306686, 114.18814 22.306703, 114.188109 22.306708, 114.188078 22.306704, 114.188053 22.306689, 114.188033 22.306672, 114.18801 22.306645, 114.187749 22.306278, 114.187685 22.306188)"
2035,1223,502,2545282593,989119527,0,754563386;85460140;1134548829,紅磡道 Hung Hom Road,primary,True,346.47200000000004,2;4,50,,,,,"LINESTRING (114.189028 22.305995, 114.189293 22.306364, 114.189302 22.306377, 114.189454 22.306589, 114.18953 22.306696, 114.189616 22.306816, 114.189708 22.306954, 114.189779 22.30706, 114.189825 22.307138, 114.189896 22.307271, 114.189963 22.307408, 114.190009 22.30751, 114.190066 22.307663, 114.190125 22.307841, 114.19016 22.307968, 114.190193 22.308108, 114.190225 22.308268, 114.190242 22.308382, 114.190256 22.308514, 114.19027 22.308734, 114.190274 22.308826)"
2036,1224,1674,2558033404,11469067166,0,249136565,世運道 Olympic Avenue,secondary,True,456.85,2,,,,,,"LINESTRING (114.197053 22.331337, 114.196938 22.331333, 114.196845 22.331318, 114.195994 22.331079, 114.195863 22.331041, 114.195726 22.330997, 114.195637 22.330966, 114.195612 22.330958, 114.195493 22.330909, 114.195375 22.330846, 114.195276 22.330774, 114.195174 22.330688, 114.195076 22.330602, 114.19498 22.330509, 114.194733 22.330277, 114.193624 22.329205, 114.193594 22.329179, 114.193499 22.329088)"
2037,1224,1245,2558033404,2873992835,0,654288460,協調道 Concorde Road,secondary,True,21.534,1,,,,,,"LINESTRING (114.197053 22.331337, 114.19701 22.331387, 114.196985 22.331448, 114.196984 22.331512)"
2038,1225,1673,2558033411,11469067165,0,1235498274,沐禮街 Muk Lai Street,residential,True,8.844,1,,,,,,"LINESTRING (114.193436 22.329023, 114.193374 22.329078)"
2039,1225,1677,2558033411,11469089677,0,1025730593,世運道 Olympic Avenue,secondary,True,245.405,2,,,,,,"LINESTRING (114.193436 22.329023, 114.193364 22.32896, 114.192582 22.328206, 114.1924 22.328039, 114.192249 22.327911, 114.192063 22.327776, 114.19189 22.327661, 114.191749 22.32758, 114.191718 22.327559, 114.191684 22.327537)"
2040,1226,1655,2558033418,10924192459,0,249136566,沐禮街 Muk Lai Street,residential,False,106.948,2,,,,,,"LINESTRING (114.194377 22.328236, 114.193631 22.328906)"
