grid_id,x_hk80,y_hk80,lon,lat,node_id,snap_dist_m,valid_origin,reachable,nearest_hospital_id,nearest_hospital,nearest_hospital_tc,distance_m,distance_km
87,835850.0,816150.0,114.17281826956561,22.28423483733871,395,1057.651244295166,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
88,835950.0,816150.0,114.17378862353408,22.28423485840346,395,957.7539517849634,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
89,836050.0,816150.0,114.17475897750397,22.28423487366832,395,857.8805917843786,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
90,836150.0,816150.0,114.17572933147495,22.28423488313329,395,758.0406238196717,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
91,836250.0,816150.0,114.1766996854467,22.284234886798373,395,658.2492422794869,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
92,836350.0,816150.0,114.17767003941891,22.284234884663558,395,558.5324901580213,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
93,836450.0,816150.0,114.17864039339123,22.28423487672885,395,458.9390157338136,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
94,836550.0,816150.0,114.17961074736337,22.284234862994257,395,359.5712693796922,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
95,836650.0,816150.0,114.18058110133501,22.284234843459778,395,260.68750519333423,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
96,836750.0,816150.0,114.18155145530582,22.284234818125405,395,163.17001245488143,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
97,836850.0,816150.0,114.18252180927549,22.28423478699113,395,72.73878308803125,True,True,8,Ruttonjee Hospital,律敦治醫院,0.0,0.0
98,836950.0,816150.0,114.18349216324367,22.284234750056974,394,56.498636736990306,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
99,837050.0,816150.0,114.1844625172101,22.28423470732293,394,139.5931997840192,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
100,837150.0,816150.0,114.18543287117438,22.28423465878899,394,236.1788028141895,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
101,837250.0,816150.0,114.18640322513626,22.28423460445517,394,334.77543573498116,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
102,837350.0,816150.0,114.18737357909541,22.284234544321446,394,434.01469772848617,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
103,837450.0,816150.0,114.18834393305144,22.284234478387834,394,533.5381179607994,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
104,837550.0,816150.0,114.18931428700412,22.28423440665433,394,633.2117250888163,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
105,837650.0,816150.0,114.19028464095311,22.284234329120945,394,732.9742521144636,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
106,837750.0,816150.0,114.19125499489806,22.284234245787662,394,832.793743813893,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
107,837850.0,816150.0,114.19222534883866,22.284234156654488,394,932.6519099901972,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
108,837950.0,816150.0,114.1931957027746,22.28423406172143,394,1032.5375299141263,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
109,838050.0,816150.0,114.19416605670555,22.284233960988484,394,1132.4433390479048,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
110,838150.0,816150.0,114.1951364106312,22.284233854455646,394,1232.3644272806525,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
111,838250.0,816150.0,114.19610676455123,22.284233742122915,394,1332.2973568612877,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
112,838350.0,816150.0,114.19707711846532,22.284233623990296,394,1432.2396491412937,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
113,838450.0,816150.0,114.19804747237315,22.28423350005778,394,1532.1894719796176,True,True,11,Tung Wah Eastern Hospital,東華東院,0.0,0.0
