tpusb,connector_order,node_id,weight,selection,rep_snap_dist_m,node_x_hk80,node_y_hk80
234022,3,1381,0.3333333333333333,nearest,171.07329928741999,836362.9369499545,819856.9141931974
234023,1,413,0.3333333333333333,nearest,108.39001652380597,836366.6975070451,819866.0498270824
234023,2,1526,0.3333333333333333,nearest,190.01351708491964,836116.179496214,819950.9725957396
234023,3,415,0.3333333333333333,nearest,178.83959144412157,836478.2893371937,819907.521099962
234024,1,414,0.3333333333333333,inside,38.93707548170594,836376.7636262032,819861.5097761976
234024,2,412,0.3333333333333333,inside,55.23478986587724,836439.0766239398,819853.1277418211
234024,3,413,0.3333333333333333,inside,42.792930640323185,836366.6975070451,819866.0498270824
234025,1,459,0.3333333333333333,inside,67.0403487503151,836508.2701697419,819969.8319411777
234025,2,1518,0.3333333333333333,inside,164.55985314221272,836570.1845847222,819779.1590278738
234025,3,410,0.3333333333333333,inside,166.80694894581057,836444.1562544497,819834.247541092
234026,1,465,1.0,inside,153.74161911878141,836922.1244504248,820121.5061899999
235001,1,901,1.0,inside,63.84179728224381,835979.2763921975,820123.8756260338
235002,1,464,0.3333333333333333,inside,32.9936812215835,836093.4311006409,820008.4441234405
235002,2,1551,0.3333333333333333,inside,119.58523606704063,836044.11264459,820137.6278246535
235002,3,462,0.3333333333333333,inside,69.33426602015781,836062.3893152423,820088.7714322823
235003,1,464,1.0,inside,48.337850648883816,836093.4311006409,820008.4441234405
235004,1,1483,0.3333333333333333,inside,102.68303550453058,836100.0882904285,820148.9110008446
235004,2,614,0.3333333333333333,inside,162.66841417196812,836295.5438790355,820215.0963047518
235004,3,1526,0.3333333333333333,inside,159.58761588935855,836116.179496214,819950.9725957396
235005,1,1275,0.3333333333333333,nearest,57.68428951614993,836079.2320261758,819874.0345442112
235005,2,1639,0.3333333333333333,nearest,121.9810317661496,835902.9990899668,819906.493961105
235005,3,1003,0.3333333333333333,nearest,116.75294298631393,835950.10239283,819799.9108318044
235006,1,601,1.0,inside,129.03411925270868,836041.0893467371,819819.1992407055
235007,1,996,0.3333333333333333,inside,78.2459802442613,836275.1343811213,819685.5852319922
235007,2,448,0.3333333333333333,inside,217.7364544958026,836125.8848340899,819941.0063865894
235007,3,409,0.3333333333333333,inside,165.21187543181077,836372.8485273262,819852.4627265605
235010,1,406,0.5,inside,108.60532014626713,836250.3446026322,819284.415878413
235010,2,411,0.5,inside,205.63482030875844,836302.664709583,819589.6115721397
235012,1,996,0.3333333333333333,nearest,81.65806778784082,836275.1343811213,819685.5852319922
235012,2,601,0.3333333333333333,nearest,257.3983094468466,836041.0893467371,819819.1992407055
235012,3,993,0.3333333333333333,nearest,182.33434820291222,836380.2483874927,819551.8293082601
235013,1,990,0.3333333333333333,nearest,68.46638117667263,836163.2395116832,819316.4406388708
235013,2,1238,0.3333333333333333,nearest,206.16667630592647,836305.611545805,819549.1934424738
235013,3,404,0.3333333333333333,nearest,209.20721221598407,836279.0191731155,819192.9934096116
236008,1,768,0.3333333333333333,inside,72.85831810826606,836269.0453678782,819233.9873440219
236008,2,899,0.3333333333333333,inside,333.11128584407345,836331.3387525998,819560.4773915143
236008,3,1238,0.3333333333333333,inside,323.67752199431,836305.611545805,819549.1934424738
236009,1,991,1.0,inside,163.48754852785345,836488.5790024302,819407.4657863162
236010,1,460,0.3333333333333333,inside,198.4841820617381,836774.9816850058,819402.1019441955
236010,2,991,0.3333333333333333,inside,254.93545868050694,836488.5790024302,819407.4657863162
236010,3,362,0.3333333333333333,inside,336.8031013153903,836606.0957295287,819561.7323213553
236011,1,358,0.5,inside,85.5731870028966,836882.4331628933,819201.1779368407
236011,2,1333,0.5,inside,133.05878260206475,836790.9841223275,819363.400736194
236015,1,358,1.0,inside,144.02252399818107,836882.4331628933,819201.1779368407
236019,1,1434,0.3333333333333333,inside,58.96060291633129,836816.2885377321,818803.7934251017
236019,2,504,0.3333333333333333,inside,134.60332720600013,836911.0908817025,818865.132942584
236019,3,1365,0.3333333333333333,inside,114.6006146718904,836892.0810386556,818852.2758827832
236020,1,364,0.3333333333333333,inside,34.92597949141894,837006.0155625349,818938.1887630618
236020,2,363,0.3333333333333333,inside,75.82860252347496,836925.5260454777,818873.2946859312
236020,3,369,0.3333333333333333,inside,62.00245378227355,836955.535409083,818993.6312230751
236021,1,369,1.0,inside,33.30592553015218,836955.535409083,818993.6312230751
236022,1,1278,0.5,inside,51.90948395456351,837023.041527624,819061.0827930379
236022,2,498,0.5,inside,71.54956046019424,837007.0701573007,819077.9358213372
236023,1,993,0.3333333333333333,inside,94.1933377575197,836380.2483874927,819551.8293082601
