zone_od_id,origin_tpusb,destination_tpusb,main_mode,sample_flow,expanded_hk_flow,road_factor,road_proxy_flow,kish_neff,origin_26PDD,origin_26PDD_name,destination_26PDD,destination_26PDD_name
565,226001,228037,9,1,337.3387,1.0,337.3387,1.0,5,Yau Ma Tei,5,Yau Ma Tei
566,226002,221086,6,1,301.081,1.0,301.081,1.0,5,Yau Ma Tei,6,Mong Kok
567,226006,212016,6,1,232.217,1.0,232.217,1.0,5,Yau Ma Tei,5,Yau Ma Tei
568,226006,221032,5,2,537.6051,1.0,537.6051,1.397814447109,5,Yau Ma Tei,6,Mong Kok
569,226006,226008,6,3,835.2386,1.0,835.2386,1.64542919019,5,Yau Ma Tei,5,Yau Ma Tei
570,226006,244020,6,1,52.7139,1.0,52.7139,1.0,5,Yau Ma Tei,8,Kowloon City
571,226007,114019,5,1,207.8458,1.0,207.8458,1.0,5,Yau Ma Tei,1,Central & Western
572,226007,213006,6,1,377.086,1.0,377.086,1.0,5,Yau Ma Tei,8,Kowloon City
573,226007,221007,6,2,639.2148,1.0,639.2148,1.999918650011,5,Yau Ma Tei,6,Mong Kok
574,226007,221032,6,1,448.433,1.0,448.433,1.0,5,Yau Ma Tei,6,Mong Kok
575,226007,222011,6,1,54.0361,1.0,54.0361,1.0,5,Yau Ma Tei,6,Mong Kok
576,226007,222026,6,1,453.6615,1.0,453.6615,1.0,5,Yau Ma Tei,6,Mong Kok
577,226007,229013,6,1,479.2216,1.0,479.2216,1.0,5,Yau Ma Tei,6,Mong Kok
578,226007,243004,8,2,723.4238,1.0,723.4238,1.364660477872,5,Yau Ma Tei,8,Kowloon City
579,226007,243010,6,2,178.8069,1.0,178.8069,1.997712272245,5,Yau Ma Tei,8,Kowloon City
580,226007,244023,6,1,64.3678,1.0,64.3678,1.0,5,Yau Ma Tei,8,Kowloon City
581,226007,245018,6,1,501.1197,1.0,501.1197,1.0,5,Yau Ma Tei,8,Kowloon City
582,226007,253002,6,1,181.1516,1.0,181.1516,1.0,5,Yau Ma Tei,5,Yau Ma Tei
583,226007,253006,5,1,2159.1217,1.0,2159.1217,1.0,5,Yau Ma Tei,5,Yau Ma Tei
584,226007,254011,7,1,182.1827,1.0,182.1827,1.0,5,Yau Ma Tei,7,Sham Shui Po
585,226007,255014,6,2,95.6256,1.0,95.6256,1.999904558323,5,Yau Ma Tei,7,Sham Shui Po
586,226007,263014,6,1,292.5058,1.0,292.5058,1.0,5,Yau Ma Tei,7,Sham Shui Po
587,226007,283025,9,1,37.337,1.0,37.337,1.0,5,Yau Ma Tei,10,Wong Tai Sin
588,226007,285014,8,2,1278.3988,1.0,1278.3988,1.994251611496,5,Yau Ma Tei,8,Kowloon City
589,226007,286039,8,2,1437.0282,1.0,1437.0282,1.967847491526,5,Yau Ma Tei,8,Kowloon City
590,226008,226006,6,3,835.1309,1.0,835.1309,1.645005667924,5,Yau Ma Tei,5,Yau Ma Tei
591,226008,255014,6,1,88.4085,1.0,88.4085,1.0,5,Yau Ma Tei,7,Sham Shui Po
592,226010,222016,7,2,7865.9166,1.0,7865.9166,1.946586736028,5,Yau Ma Tei,6,Mong Kok
593,226010,226010,6,1,4058.2433,1.0,4058.2433,1.0,5,Yau Ma Tei,5,Yau Ma Tei
594,226011,243045,7,1,161.2377,1.0,161.2377,1.0,5,Yau Ma Tei,8,Kowloon City
595,226012,255001,9,1,91.2905,1.0,91.2905,1.0,5,Yau Ma Tei,7,Sham Shui Po
596,226013,212013,6,2,944.959,1.0,944.959,1.941350204769,5,Yau Ma Tei,5,Yau Ma Tei
597,226013,241008,9,1,103.6394,1.0,103.6394,1.0,5,Yau Ma Tei,8,Kowloon City
598,226013,254010,7,2,1832.1618,1.0,1832.1618,1.99117548623,5,Yau Ma Tei,7,Sham Shui Po
599,226015,243045,7,1,244.2537,1.0,244.2537,1.0,5,Yau Ma Tei,8,Kowloon City
600,226017,283032,6,1,430.4908,1.0,430.4908,1.0,5,Yau Ma Tei,10,Wong Tai Sin
601,226018,212019,6,1,181.2003,1.0,181.2003,1.0,5,Yau Ma Tei,5,Yau Ma Tei
602,226018,222017,9,2,1160.558,1.0,1160.558,2.0,5,Yau Ma Tei,6,Mong Kok
603,226019,245012,7,1,77.842,1.0,77.842,1.0,5,Yau Ma Tei,8,Kowloon City
604,226019,245018,1|6,3,1894.7846,0.41435083511177323,785.1055813669271,2.204375557296,5,Yau Ma Tei,8,Kowloon City
605,226019,263005,6,1,86.9152,1.0,86.9152,1.0,5,Yau Ma Tei,7,Sham Shui Po
606,227002,153038,9,1,39.3403,1.0,39.3403,1.0,6,Mong Kok,3,Eastern
607,227002,236008,6,1,106.887,1.0,106.887,1.0,6,Mong Kok,8,Kowloon City
608,227002,241011,5,1,455.7606,1.0,455.7606,1.0,6,Mong Kok,8,Kowloon City
