connector_od_id,zone_od_id,origin_tpusb,destination_tpusb,origin_node,destination_node,pair_weight,demand
7318,1140,246001,234015,1172,569,0.3333333333333333,124.24076437015779
7319,1140,246001,234015,1172,466,0.3333333333333333,124.24076437015779
7320,1141,246001,254014,1172,1274,0.5,232.43315
7321,1141,246001,254014,1172,1048,0.5,232.43315
7322,1142,246002,237003,1174,902,0.16666666666666669,13.163833333333335
7323,1142,246002,237003,1174,463,0.16666666666666669,13.163833333333335
7324,1142,246002,237003,887,902,0.16666666666666669,13.163833333333335
7325,1142,246002,237003,887,463,0.16666666666666669,13.163833333333335
7326,1142,246002,237003,1523,902,0.16666666666666669,13.163833333333335
7327,1142,246002,237003,1523,463,0.16666666666666669,13.163833333333335
7328,1143,246005,284014,1171,337,0.16666666666666669,13.840300000000001
7329,1143,246005,284014,1171,329,0.16666666666666669,13.840300000000001
7330,1143,246005,284014,1171,1249,0.16666666666666669,13.840300000000001
7331,1143,246005,284014,1174,337,0.16666666666666669,13.840300000000001
7332,1143,246005,284014,1174,329,0.16666666666666669,13.840300000000001
7333,1143,246005,284014,1174,1249,0.16666666666666669,13.840300000000001
7334,1144,246005,285002,1171,1191,0.16666666666666669,14.146066666666668
7335,1144,246005,285002,1171,1189,0.16666666666666669,14.146066666666668
7336,1144,246005,285002,1171,1188,0.16666666666666669,14.146066666666668
7337,1144,246005,285002,1174,1191,0.16666666666666669,14.146066666666668
7338,1144,246005,285002,1174,1189,0.16666666666666669,14.146066666666668
7339,1144,246005,285002,1174,1188,0.16666666666666669,14.146066666666668
7340,1145,246006,237001,1541,1289,0.16666666666666669,5.625566666666667
7341,1145,246006,237001,1541,1518,0.16666666666666669,5.625566666666667
7342,1145,246006,237001,1541,1588,0.16666666666666669,5.625566666666667
7343,1145,246006,237001,1661,1289,0.16666666666666669,5.625566666666667
7344,1145,246006,237001,1661,1518,0.16666666666666669,5.625566666666667
7345,1145,246006,237001,1661,1588,0.16666666666666669,5.625566666666667
7346,1146,246006,243014,1541,1087,0.5,413.76255
7347,1146,246006,243014,1661,1087,0.5,413.76255
7348,1147,246006,247006,1541,1139,0.16666666666666669,107.81688333333334
7349,1147,246006,247006,1541,313,0.16666666666666669,107.81688333333334
7350,1147,246006,247006,1541,1136,0.16666666666666669,107.81688333333334
7351,1147,246006,247006,1661,1139,0.16666666666666669,107.81688333333334
7352,1147,246006,247006,1661,313,0.16666666666666669,107.81688333333334
7353,1147,246006,247006,1661,1136,0.16666666666666669,107.81688333333334
7354,1148,246006,284004,1541,337,0.16666666666666669,9.940800000000001
7355,1148,246006,284004,1541,329,0.16666666666666669,9.940800000000001
7356,1148,246006,284004,1541,1249,0.16666666666666669,9.940800000000001
7357,1148,246006,284004,1661,337,0.16666666666666669,9.940800000000001
7358,1148,246006,284004,1661,329,0.16666666666666669,9.940800000000001
7359,1148,246006,284004,1661,1249,0.16666666666666669,9.940800000000001
7360,1149,246010,235006,466,601,0.3333333333333333,62.423766666666666
7361,1149,246010,235006,1514,601,0.3333333333333333,62.423766666666666
7362,1149,246010,235006,1508,601,0.3333333333333333,62.423766666666666
7363,1150,246010,236024,466,997,0.11111111111111108,32.78762222222221
7364,1150,246010,236024,466,417,0.11111111111111108,32.78762222222221
7365,1150,246010,236024,466,32,0.11111111111111108,32.78762222222221
7366,1150,246010,236024,1514,997,0.11111111111111108,32.78762222222221
7367,1150,246010,236024,1514,417,0.11111111111111108,32.78762222222221
7368,1150,246010,236024,1514,32,0.11111111111111108,32.78762222222221
7369,1150,246010,236024,1508,997,0.11111111111111108,32.78762222222221
7370,1150,246010,236024,1508,417,0.11111111111111108,32.78762222222221
7371,1150,246010,236024,1508,32,0.11111111111111108,32.78762222222221
7372,1151,246010,241011,466,1505,0.3333333333333333,117.09673333333333
7373,1151,246010,241011,1514,1505,0.3333333333333333,117.09673333333333
7374,1151,246010,241011,1508,1505,0.3333333333333333,117.09673333333333
7375,1152,246010,244027,466,312,0.11111111111111108,6.369411111111109
7376,1152,246010,244027,466,285,0.11111111111111108,6.369411111111109
7377,1152,246010,244027,466,1452,0.11111111111111108,6.369411111111109
7378,1152,246010,244027,1514,312,0.11111111111111108,6.369411111111109
7379,1152,246010,244027,1514,285,0.11111111111111108,6.369411111111109
7380,1152,246010,244027,1514,1452,0.11111111111111108,6.369411111111109
7381,1152,246010,244027,1508,312,0.11111111111111108,6.369411111111109
7382,1152,246010,244027,1508,285,0.11111111111111108,6.369411111111109
7383,1152,246010,244027,1508,1452,0.11111111111111108,6.369411111111109
7384,1153,246010,253002,466,182,0.11111111111111108,18.481533333333328
7385,1153,246010,253002,466,121,0.11111111111111108,18.481533333333328
7386,1153,246010,253002,466,118,0.11111111111111108,18.481533333333328
